Name,Number of Episodes,Rating
Move to Heaven,10,9.2
Flower of Evil,16,9.1
Hospital Playlist,12,9.1
Hospital Playlist 2,12,9.1
My Mister,16,9.1
Reply 1988,20,9.1
Weak Hero Class 1,8,9.1
Prison Playbook,16,9.1
Alchemy of Souls,20,9
Extraordinary Attorney Woo,16,9
Mr. Queen,20,9
Mother,16,9
It's Okay to Not Be Okay,16,9
Crash Landing on You,16,9
Vincenzo,20,9
Navillera,12,9
Signal,16,9
Mr. Sunshine,24,8.9
Happiness,12,8.9
Kingdom: Season 2,6,8.9
SKY Castle,20,8.9
Tomorrow,16,8.9
Healer,20,8.9
Stranger,16,8.9
Twenty-Five Twenty-One,16,8.8
The Red Sleeve,17,8.8
Goblin,16,8.8
The Uncanny Counter,16,8.8
Mouse,20,8.7
Kingdom,6,8.8
Weightlifting Fairy Kim Bok Joo,16,8.8
D.P.,6,8.8
The Devil Judge,16,8.8
The Penthouse,21,8.8
Youth of May,12,8.8
Taxi Driver,16,8.8
Life on Mars,16,8.8
Beyond Evil,16,8.8
Racket Boys,16,8.8
Hometown Cha-Cha-Cha,16,8.8
Six Flying Dragons,50,8.8
Our Beloved Summer,16,8.7
The Guest,16,8.8
Dear My Friends,16,8.7
While You Were Sleeping,32,8.7
The Penthouse 2,13,8.8
Chicago Typewriter,16,8.7
18 Again,16,8.7
Arthdal Chronicles Part 2,6,8.7
Arthdal Chronicles Part 3,6,8.7
Through the Darkness,12,8.7
Dr. Romantic 2,16,8.7
Defendant,18,8.7
Our Blues,20,8.7
Sweet Home,10,8.7
"Kill Me, Heal Me",20,8.7
Moon Lovers,20,8.7
A Business Proposal,12,8.7
Misaeng,20,8.7
Strong Woman Do Bong Soon,16,8.7
The Fiery Priest,40,8.7
My Name,8,8.7
Hotel del Luna,16,8.7
Hot Stove League,16,8.7
Dr. Romantic,20,8.7
Descendants of the Sun,16,8.7
Law School,16,8.7
Strangers from Hell,10,8.7
Live,18,8.7
Tunnel,16,8.7
My Liberation Notes,16,8.6
Partners for Justice 2,32,8.6
Jewel in the Palace,54,8.6
"It's Okay, That's Love",16,8.6
Little Women,12,8.6
Ghost Doctor,16,8.6
Eulachacha Waikiki,20,8.6
The Bridal Mask,28,8.6
Children of Nobody,32,8.6
Good Manager,20,8.6
The King of Pigs,12,8.6
Big Mouth,16,8.6
Go Back Couple,12,8.6
Empress Ki,51,8.6
My Father is Strange,52,8.6
Once Again,100,8.6
Missing,12,8.6
Stranger 2,16,8.6
Designated Survivor,16,8.6
Juvenile Justice,10,8.6
Cruel City,20,8.6
My Love from the Star,21,8.6
Mystic Pop-Up Bar,12,8.6
Age of Youth,12,8.6
Just Between Lovers,16,8.6
Save Me,16,8.6
Bad and Crazy,12,8.6
365,24,8.6
The Master's Sun,17,8.6
Avengers Social Club,12,8.6
Rebel,30,8.5
Nobody Knows,16,8.5
Bad Guys,11,8.5
Beautiful World,16,8.5
Arthdal Chronicles Part 1,6,8.5
Kairos,16,8.5
I Hear Your Voice,18,8.5
What's Wrong with Secretary Kim,16,8.5
Vagabond,16,8.5
One Ordinary Day,8,8.5
Reply 1997,16,8.5
Doctor John,32,8.5
"Hi Bye, Mama!",16,8.5
Voice,16,8.5
Fight For My Way,16,8.5
Squid Game,9,8.5
W,16,8.5
Queen Seon Duk,62,8.5
Mad for Each Other,13,8.5
Dali and the Cocky Prince,16,8.5
Thirty But Seventeen,32,8.5
When the Camellia Blooms,40,8.5
Be Melodramatic,16,8.5
Itaewon Class,16,8.5
Snowdrop,16,8.5
Circle,12,8.5
Because This Is My First Life,16,8.5
The Princess's Man,24,8.5
Blind,16,8.5
Two Weeks,16,8.5
"Work Later, Drink Now",12,8.5
Dong Yi,60,8.5
Gaus Electronics,12,8.5
Angel's Last Mission: Love,32,8.5
The World of the Married,16,8.5
All of Us Are Dead,12,8.5
Extracurricular,10,8.5
Yumi's Cells,14,8.5
Lost,16,8.4
Queen In Hyun's Man,16,8.4
One Dollar Lawyer,12,8.4
If You Wish Upon Me,16,8.4
I'm Not a Robot,32,8.4
Memorist,16,8.4
Voice 2,12,8.4
Doom at Your Service,16,8.4
Duel,16,8.4
Search: WWW,16,8.4
"From Now On, Showtime!",16,8.4
Hello Monster,16,8.4
Moon Embracing the Sun,20,8.4
Train,12,8.4
Sh**ting Stars,16,8.4
The Crowned Clown,16,8.4
Mad Dog,16,8.4
Birthcare Center,8,8.4
Nine: Nine Times Time Travel,20,8.4
Extraordinary You,32,8.4
Pinocchio,20,8.4
Doctor Prisoner,32,8.4
Love All Play,16,8.4
My Unfamiliar Family,16,8.4
Her Private Life,16,8.4
Age of Youth 2,14,8.4
Secret,16,8.4
Military Prosecutor Doberman,16,8.4
Pachinko,8,8.4
My Roommate Is a Gumiho,16,8.4
Yumi's Cells 2,14,8.4
My Country: The New Age,16,8.4
Sell Your Haunted House,16,8.4
Player,14,8.4
The Legend of the Blue Sea,20,8.4
Come and Hug Me,32,8.4
Partners for Justice,32,8.4
Seasons of Blossom,16,8.4
The Tale of Nokdu,32,8.4
Psychopath Diary,16,8.4
The Beauty Inside,16,8.4
Tale of the Nine-Tailed,16,8.4
The Good Detective,16,8.4
He Is Psychometric,16,8.4
One Spring Night,32,8.4
Soundtrack #1,4,8.4
City Hunter,20,8.4
Class of Lies,16,8.3
100 Days My Prince,16,8.3
"At a Distance, Spring Is Green",12,8.3
Lie After Lie,16,8.3
The Sound of Magic,6,8.3
The Mysterious Class,8,8.3
Good Doctor,20,8.3
"It's Okay, That's Friendship",1,8.3
Rookie Cops,16,8.3
True Beauty,16,8.3
Oh My Ghost,16,8.3
God's Gift: 14 Days,16,8.3
The Sound of Your Heart,20,8.3
The Veil,12,8.3
Graceful Family,16,8.3
Gu Family Book,24,8.3
The Hymn of Death,6,8.3
Jumong,81,8.3
Vampire Prosecutor 2,11,8.3
Ugly Alert,133,8.3
Misty,16,8.3
Voice 3: City of Accomplices,16,8.3
Confession,16,8.3
Again My Life,16,8.3
Money Heist: Korea - Joint Economic Area - Part 1,6,8.3
Are You Human Too?,36,8.3
Run On,16,8.3
The Smile Has Left Your Eyes,16,8.3
Team Bulldog: Off-duty Investigation,12,8.3
The Guardians,32,8.3
Terius Behind Me,32,8.3
Hyena,16,8.3
Touch Your Heart,16,8.3
Angry Mom,16,8.3
Welcome 2 Life,32,8.3
Suspicious Partner,40,8.3
Mine,16,8.3
When the Weather Is Fine,16,8.3
Lawless Lawyer,16,8.3
Crazy Love,16,8.3
WATCHER,16,8.3
Five Enough,54,8.3
Amanza,10,8.3
Light on Me,16,8.3
Bulgasal: Immortal Souls,16,8.3
Liar Game,12,8.3
Tree With Deep Roots,24,8.3
49 Days,20,8.3
D-Day,20,8.3
Awaken,16,8.3
Oh My Venus,16,8.3
Leverage,16,8.3
The King's Affection,20,8.3
A Gentleman's Dignity,20,8.3
Rookie Historian Goo Hae Ryung,40,8.3
Coffee Prince,17,8.3
Ghost,20,8.3
Love Playlist: Season 4,16,8.3
God's Quiz: Reboot,16,8.3
Missing Noir M,10,8.3
Live Up to Your Name,16,8.3
Queen for Seven Days,20,8.3
Memory,16,8.3
A Korean Odyssey,20,8.3
Voice 4: Judgment Hour,14,8.3
